,count,mean,std,min,25%,50%,75%,max
clay_perc,57268.0,1406.8397909407884,952.4365725605026,9.802810000000001,661.010556666667,1277.7583949999994,1977.5639933333332,4767.872173333332
sand_perc,57142.0,2229.585069786237,1625.9558354309654,32.266666666666666,792.7141973344,1936.7000000000005,3463.6558333333337,5743.771666666667
silt_perc,57195.0,2158.78998727631,1124.7284108852264,23.096666666666664,1307.8675000000003,2158.288333333334,2990.26275,5048.199999999999
texture_sum,57268.0,5788.843511814458,78.30422289502039,5097.933919999999,5798.6334275,5799.997304999998,5801.446144999999,6104.425856666667
650,57268.0,92.46460717940298,11.9481405892287,50.18509,84.7714025,93.24543999999999,100.34853750000002,126.82724999999999
652,57268.0,92.30999807985073,12.08286437368837,49.903229999999986,84.49188749999998,93.081875,100.30229999999999,126.95
654,57268.0,92.20111175671643,12.205204465110949,49.64648999999999,84.285975,92.975105,100.28878749999998,127.02709999999999
656,57268.0,92.12803055373134,12.30614535254232,49.43455999999998,84.14803999999998,92.93077,100.28556250000003,127.15326999999995
658,57268.0,92.08294762029851,12.376243205034886,49.29673,84.05315499999998,92.91502500000001,100.28626500000001,127.25621000000004
660,57268.0,92.0560624555224,12.414143313149154,49.241389999999996,83.99003,92.916105,100.29163750000002,127.36136999999997
662,57268.0,92.01696758671642,12.423094829281867,49.25984000000002,83.94137999999998,92.90840500000003,100.25806750000004,127.31849000000005
664,57268.0,91.92820354074625,12.40338437650947,49.271129999999985,83.84829500000001,92.83437999999998,100.15245,127.13482000000002
666,57268.0,91.65725714552237,12.364988487304986,49.18744000000001,83.58480999999998,92.55772500000003,99.84543750000003,126.71965999999998
668,57268.0,91.33820161955221,12.30478864173526,49.14359000000001,83.3000425,92.22268500000003,99.46183750000002,126.35980999999998
670,57268.0,91.30449474522388,12.257571993042193,49.30280999999999,83.284045,92.17218000000003,99.38549249999997,126.46252000000001
672,57268.0,91.40496598626866,12.22634168152002,49.50678000000003,83.3813775,92.24562500000002,99.4553275,126.65298999999999
